boroct2010,variable_num,label,estimate
2002702,7,HHI 30-35k,71
2002702,8,HHI 35-40k,60
2002702,9,HHI 40-45k,85
2002702,10,HHI 45-50k,15
2002702,11,HHI 50-60k,16
2002702,12,HHI 60-75k,78
2002702,13,HHI 75-100k,119
2002702,14,HHI 100-125k,50
2002702,15,HHI 125-150k,20
2002702,16,HHI 150-200k,28
2002702,17,HHI 200k+,0
2002800,2,HHI <10k,105
2002800,3,HHI 10-15k,55
2002800,4,HHI 15-20k,130
2002800,5,HHI 20-25k,91
2002800,6,HHI 25-30k,157
2002800,7,HHI 30-35k,87
2002800,8,HHI 35-40k,158
2002800,9,HHI 40-45k,180
2002800,10,HHI 45-50k,98
2002800,11,HHI 50-60k,378
2002800,12,HHI 60-75k,402
2002800,13,HHI 75-100k,174
2002800,14,HHI 100-125k,175
2002800,15,HHI 125-150k,115
2002800,16,HHI 150-200k,0
2002800,17,HHI 200k+,0
2003100,2,HHI <10k,42
2003100,3,HHI 10-15k,27
2003100,4,HHI 15-20k,70
2003100,5,HHI 20-25k,57
2003100,6,HHI 25-30k,35
2003100,7,HHI 30-35k,19
2003100,8,HHI 35-40k,36
2003100,9,HHI 40-45k,80
2003100,10,HHI 45-50k,28
2003100,11,HHI 50-60k,51
2003100,12,HHI 60-75k,58
2003100,13,HHI 75-100k,68
2003100,14,HHI 100-125k,19
2003100,15,HHI 125-150k,44
2003100,16,HHI 150-200k,24
2003100,17,HHI 200k+,0
2003300,2,HHI <10k,353
2003300,3,HHI 10-15k,96
2003300,4,HHI 15-20k,77
2003300,5,HHI 20-25k,107
2003300,6,HHI 25-30k,156
2003300,7,HHI 30-35k,53
2003300,8,HHI 35-40k,29
2003300,9,HHI 40-45k,74
2003300,10,HHI 45-50k,17
2003300,11,HHI 50-60k,41
2003300,12,HHI 60-75k,19
2003300,13,HHI 75-100k,51
2003300,14,HHI 100-125k,24
2003300,15,HHI 125-150k,12
2003300,16,HHI 150-200k,59
2003300,17,HHI 200k+,15
2003500,2,HHI <10k,160
2003500,3,HHI 10-15k,132
2003500,4,HHI 15-20k,190
2003500,5,HHI 20-25k,70
2003500,6,HHI 25-30k,87
2003500,7,HHI 30-35k,94
2003500,8,HHI 35-40k,80
2003500,9,HHI 40-45k,27
2003500,10,HHI 45-50k,28
2003500,11,HHI 50-60k,127
2003500,12,HHI 60-75k,51
2003500,13,HHI 75-100k,178
2003500,14,HHI 100-125k,27
2003500,15,HHI 125-150k,51
2003500,16,HHI 150-200k,0
2003500,17,HHI 200k+,20
2003700,2,HHI <10k,40
2003700,3,HHI 10-15k,13
2003700,4,HHI 15-20k,23
2003700,5,HHI 20-25k,0
2003700,6,HHI 25-30k,0
2003700,7,HHI 30-35k,11
2003700,8,HHI 35-40k,0
2003700,9,HHI 40-45k,0
2003700,10,HHI 45-50k,13
2003700,11,HHI 50-60k,23
2003700,12,HHI 60-75k,18
2003700,13,HHI 75-100k,4
2003700,14,HHI 100-125k,0
2003700,15,HHI 125-150k,0
2003700,16,HHI 150-200k,0
2003700,17,HHI 200k+,0
2003800,2,HHI <10k,39
2003800,3,HHI 10-15k,25
2003800,4,HHI 15-20k,39
2003800,5,HHI 20-25k,65
2003800,6,HHI 25-30k,20
2003800,7,HHI 30-35k,29
2003800,8,HHI 35-40k,17
2003800,9,HHI 40-45k,0
2003800,10,HHI 45-50k,2
2003800,11,HHI 50-60k,7
2003800,12,HHI 60-75k,27
2003800,13,HHI 75-100k,63
2003800,14,HHI 100-125k,43
2003800,15,HHI 125-150k,19
2003800,16,HHI 150-200k,12
2003800,17,HHI 200k+,8
2003900,2,HHI <10k,355
2003900,3,HHI 10-15k,332
2003900,4,HHI 15-20k,185
2003900,5,HHI 20-25k,155
2003900,6,HHI 25-30k,125
2003900,7,HHI 30-35k,0
2003900,8,HHI 35-40k,138
2003900,9,HHI 40-45k,103
2003900,10,HHI 45-50k,77
2003900,11,HHI 50-60k,20
2003900,12,HHI 60-75k,39
2003900,13,HHI 75-100k,158
2003900,14,HHI 100-125k,108
2003900,15,HHI 125-150k,30
2003900,16,HHI 150-200k,58
2003900,17,HHI 200k+,221
2004001,2,HHI <10k,29
2004001,3,HHI 10-15k,10
2004001,4,HHI 15-20k,32
2004001,5,HHI 20-25k,31
2004001,6,HHI 25-30k,11
2004001,7,HHI 30-35k,27
2004001,8,HHI 35-40k,50
2004001,9,HHI 40-45k,12
2004001,10,HHI 45-50k,0
2004001,11,HHI 50-60k,53
2004001,12,HHI 60-75k,65
2004001,13,HHI 75-100k,63
2004001,14,HHI 100-125k,36
2004001,15,HHI 125-150k,21
2004001,16,HHI 150-200k,44
2004001,17,HHI 200k+,14
2004100,2,HHI <10k,551
2004100,3,HHI 10-15k,334
2004100,4,HHI 15-20k,232
2004100,5,HHI 20-25k,87
2004100,6,HHI 25-30k,92
2004100,7,HHI 30-35k,100
2004100,8,HHI 35-40k,86
2004100,9,HHI 40-45k,301
2004100,10,HHI 45-50k,35
2004100,11,HHI 50-60k,31
2004100,12,HHI 60-75k,59
2004100,13,HHI 75-100k,178
2004100,14,HHI 100-125k,42
2004100,15,HHI 125-150k,25
2004100,16,HHI 150-200k,0
2004100,17,HHI 200k+,35
2004200,2,HHI <10k,258
2004200,3,HHI 10-15k,347
2004200,4,HHI 15-20k,205
2004200,5,HHI 20-25k,140
2004200,6,HHI 25-30k,135
2004200,7,HHI 30-35k,191
2004200,8,HHI 35-40k,20
2004200,9,HHI 40-45k,123
2004200,10,HHI 45-50k,64
2004200,11,HHI 50-60k,187
2004200,12,HHI 60-75k,200
2004200,13,HHI 75-100k,551
2004200,14,HHI 100-125k,213
2004200,15,HHI 125-150k,92
2004200,16,HHI 150-200k,0
2004200,17,HHI 200k+,0
2004300,2,HHI <10k,486
2004300,3,HHI 10-15k,255
