locationid,zone,borough,speed_zone,day_type,time_of_day,mean_trip_mph,median_trip_mph,num_trips,mean_trip_distance,mean_trip_minutes
14,Bay Ridge,Brooklyn,3,weekday,6,13.32867496919928,12.237973516204999,32232,1.7323026772512676,9.101564697609001
14,Bay Ridge,Brooklyn,3,weekday,12,13.140267235931992,12.076178096932631,47585,1.6954558520460393,8.883133340338341
14,Bay Ridge,Brooklyn,3,weekday,20,14.974578947194583,13.981164263548687,19034,1.7597476963054377,7.859286014500368
14,Bay Ridge,Brooklyn,3,weekend_or_holiday,0,16.440263476831824,15.45739597374158,10042,1.78877374377914787043,7.391206930890261
14,Bay Ridge,Brooklyn,3,weekend_or_holiday,6,14.744306916542229,13.694968726548266,9587,1.7276501748624097,7.894826327318244
14,Bay Ridge,Brooklyn,3,weekend_or_holiday,12,13.48805214693552,12.44307921759391,22562,1.7191818360095201,8.633073309103802
14,Bay Ridge,Brooklyn,3,weekend_or_holiday,20,14.863086024301474,13.862207150617378,10573,1.74458119925399370488,7.888078123522179
15,Bay Terrace/Fort Totten,Queens,4,weekday,0,20.15789175677773,19.164863736656926,364,2.1245221142134197,7.391300366300366
15,Bay Terrace/Fort Totten,Queens,4,weekday,6,18.03986313122567,17.32450331125828,3899,2.1710998436015329,7.9642173206805165
15,Bay Terrace/Fort Totten,Queens,4,weekday,12,16.5266670864295,15.179883945841393,4429,2.0836225558912279,8.674542786181982
15,Bay Terrace/Fort Totten,Queens,4,weekday,20,17.774229328067378,16.662420382165607,1420,2.1588830151389654,8.24456572769953
15,Bay Terrace/Fort Totten,Queens,4,weekend_or_holiday,0,20.202691248359233,18.485258209723767,453,2.1828258200750625,7.427814569536424
15,Bay Terrace/Fort Totten,Queens,4,weekend_or_holiday,6,18.644899437685233,17.845828698796517,950,2.1567444629434111,7.814754385964912
15,Bay Terrace/Fort Totten,Queens,4,weekend_or_holiday,12,16.66366959374711,15.602385685884691,2256,2.1112655657469823,8.53758865248227
15,Bay Terrace/Fort Totten,Queens,4,weekend_or_holiday,20,17.883450127336037,16.662420382165607,841,2.1730887692642382,8.068351169242964
16,Bayside,Queens,4,weekday,0,21.254791508484058,19.733797909407667,2807,2.0881737287048765,6.852327514546967
16,Bayside,Queens,4,weekday,6,18.94960499759486,17.742282937081306,9516,1.9297833571057660,7.013717248143478
16,Bayside,Queens,4,weekday,12,17.36988970999829,15.962019853258523,17067,2.0655814882445180,8.20528798265659
16,Bayside,Queens,4,weekday,20,19.076499054932412,17.880719612981256,7345,2.0849618526836407,7.288300431132289
16,Bayside,Queens,4,weekend_or_holiday,0,19.5947525583218,18.559734281828643,4550,2.1330850919838175,7.427871794871795
16,Bayside,Queens,4,weekend_or_holiday,6,19.483530819884514,18.045590353891136,2748,2.0551094954995203,7.175181950509461
16,Bayside,Queens,4,weekend_or_holiday,12,18.36959668117881,16.843642694781643,6461,2.0582197468241446,7.688319661559098
16,Bayside,Queens,4,weekend_or_holiday,20,19.24422771903834,17.91014268144118,3450,2.0932250062511532,7.346072463768116
17,Bedford,Brooklyn,2,weekday,0,12.940924764046995,12.124205897793383,13803,1.69212946754440140920,8.776856480475258
17,Bedford,Brooklyn,2,weekday,6,9.302200767955975,8.604697801113259,45725,1.67828193372985890230,12.42103335155823
17,Bedford,Brooklyn,2,weekday,12,8.820175708375503,8.167581578555822,76431,1.61876263843727584243,12.655148652597331
17,Bedford,Brooklyn,2,weekday,20,10.975907210752194,10.329951890578924,42434,1.66321274905941765240,10.083849428917063
17,Bedford,Brooklyn,2,weekend_or_holiday,0,11.774262672017384,11.101120389059485,21542,1.74308992291283143166,9.830896233713986
17,Bedford,Brooklyn,2,weekend_or_holiday,6,11.397876108750534,10.680605572339772,19158,1.78972743992240549148,10.406215854125344
17,Bedford,Brooklyn,2,weekend_or_holiday,12,9.953618348839905,9.32901493245733,46162,1.74229883438956126773,11.666452565602299
17,Bedford,Brooklyn,2,weekend_or_holiday,20,10.633523045329913,10.001170040725517,24979,1.72840321019096839239,10.752664237959886
18,Bedford Park,Bronx,2,weekday,0,13.794080366492803,12.65748040959569,7516,1.52426813430525100271,7.551532286677311
18,Bedford Park,Bronx,2,weekday,6,10.648339640033543,9.74311697442919,28209,1.52438982553954729110,9.863392297966369
18,Bedford Park,Bronx,2,weekday,12,9.796331742571116,8.918032786885245,38472,1.53007196444318250472,10.866682695640119
18,Bedford Park,Bronx,2,weekday,20,11.944336712669495,11.095631927177713,17113,1.54020522963304645810,8.700984631566646
18,Bedford Park,Bronx,2,weekend_or_holiday,0,12.869549740367885,11.888545194658489,8677,1.52895598180920744108,8.021015327878299
18,Bedford Park,Bronx,2,weekend_or_holiday,6,12.388728268583856,11.532420291658607,7980,1.57896922362181650825,8.6318567251462
18,Bedford Park,Bronx,2,weekend_or_holiday,12,10.64082158427213,9.819936337745016,18276,1.56653190602389102996,9.935154483110818
18,Bedford Park,Bronx,2,weekend_or_holiday,20,11.476962348071439,10.537374608995794,9943,1.54473817053276846748,9.115597237587583
19,Bellerose,Queens,4,weekday,0,21.551993313459818,20.036819086594004,328,2.0869379859953392,6.8289634146341465
19,Bellerose,Queens,4,weekday,6,19.586176638327906,18.205441455096626,2596,2.0664478165832147,7.494818952234207
19,Bellerose,Queens,4,weekday,12,19.07229492371542,17.04541303445413,3000,2.0313510108247461,7.86265
19,Bellerose,Queens,4,weekday,20,21.506040607666097,19.333665995975856,829,1.9844176392544089,6.994028950542823
19,Bellerose,Queens,4,weekend_or_holiday,0,21.454988893503646,20.136858749078378,292,2.0284475571477520,7.176598173515982
19,Bellerose,Queens,4,weekend_or_holiday,6,20.865693957601476,19.357760969289732,658,2.0314905017785723,6.806737588652482
